¬ЅбЎвнг1000¬|¬ЅбЎв660¬|¬ЅбЎвнгLS660¬|÷ена|¬ЅбЎв1000¬|¬ЅбЎвнг660¬|¬ЅбЎвнгLS1000¬|
2х1,5|7236|1х70|75159|2х1,5|7788|1х70|
2х2,5|9766|1х95|101605|2х2,5|10364|1х95|
2х4|13463|1х120|124782|2х4|14113|1х120|
2х6|18123|1х150|155020|2х6|18828|1х150|
2х10|27448|1х185|192896|2х10|28281|1х185|
2х16|41799|1х240|248038|2х16|42782|1х240|
2х25|60878|2х70|152125|2х25|62228|2х70|
2х35|82565|2х95|206656|2х35|84146|2х95|
2х50|112942|2х120|254696|2х50|114773|2х120|
3х1,5|9236|2х150|315384|3х1,5|9810|2х150|
3х2,5|12882|2х185|393217|3х2,5|13504|2х185|
3х4|18249|2х240|505607|3х4|18928|2х240|
3х6|25053|4х70|293614|3х6|25790|4х70|
3х10|39128|4х95|400642|3х10|40065|4х95|
3х16|59985|4х120|494049|3х16|61161|4х120|
3х25|87309|4х150|615004|3х25|88735|4х150|
3х35|119279|4х185|766418|3х35|120951|4х185|
3х50|163709|4х240|990708|3х50|165648|4х240|
3х2,5+1х1,5|15178|3х70|222414|3х2,5+1х1,5|15844|3х70|
3х4+1х2,5|21570|3х95|303191|3х4+1х2,5|22298|3х95|
3х6+1х4|30066|3х120|373447|3х6+1х4|30859|3х120|
3х10+1х6|46178|3х150|464518|3х10+1х6|47163|3х150|
3х16+1х10|71258|3х185|578644|3х16+1х10|72535|3х185|
3х25+1х16|104577|3х240|746947|3х25+1х16|105994|3х240|
3х35+1х16|136332|3х70+1х25|247845|3х35+1х16|137873|3х70+1х25|
3х35+1х25|146025|3х70+1х35|257779|3х35+1х25|147664|3х70+1х35|
3х50+1х16|180480|3х70+1х50|273581|3х50+1х16|182256|3х70+1х50|
3х50+1х25|189798|3х95+1х35|338630|3х50+1х25|191626|3х95+1х35|
3х50+1х35|201432|3х95+1х50|353071|3х50+1х35|203679|3х95+1х50|
4х1,5|11364|3х95+1х70|374643|4х1,5|11975|3х95+1х70|
4х2,5|16143|3х120+1х35|408941|4х2,5|16809|3х120+1х35|
4х4|23205|3х120+1х50|422727|4х4|23933|3х120+1х50|
4х6|32172|3х120+1х70|445160|4х6|32966|3х120+1х70|
4х10|50569|3х150+1х50|514889|4х10|51584|3х150+1х50|
4х16|78053|3х150+1х70|535681|4х16|79314|3х150+1х70|
4х25|114392|3х150+1х95|562623|4х25|116043|3х150+1х95|
4х35|156781|3х185+1х50|628122|4х35|158626|3х185+1х50|
4х50|215541|3х185+1х70|648084|4х50|217788|3х185+1х70|
5х1,5|13526|3х185+1х95|675956|5х1,5|14178|3х185+1х95|
5х2,5|19440|3х240+1х70|818315|5х2,5|20153|3х240+1х70|
5х4|28202|3х240+1х95|844234|5х4|28985|3х240+1х95|
5х6|39750|3х240+1х120|868232|5х6|40629|3х240+1х120|
5х10|61958|5х70|364284|5х10|63011|5х70|
5х16|96119|5х95|498588|5х16|97437|5х95|
5х25|141170|5х120|615107|5х25|142800|5х120|
5х35|193564|5х150|765882|5х35|195377|5х150|
5х50|266871|5х185|955492|5х50|269199|5х185|
||5х240|1236460|||5х240|
